"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","name"
"ECDH10B_4349",4910.16384262958,4.81936051119699,0.267855516987259,16.8182331544434,1.79430541750432e-63,6.17241063621485e-60,"frdA"
"ECDH10B_4523",1897.2965401291,-4.53176757619028,0.311879577620823,-13.5016082043213,1.52999461220456e-41,2.63159073299184e-38,"fhuF"
"ECDH10B_2363",766.121464083361,8.81020648197351,0.641011398666622,8.51157274612486,1.71589824469089e-17,1.96756332057888e-14,"napA"
"ECDH10B_0285",543.287981200288,1.03304277946348,0.731161820756347,8.33009007898067,8.07808665385391e-17,5.55772361785149e-14,"ykgM"
"ECDH10B_2312",1317.58874756621,-3.72957385730771,0.40994241993324,-8.35248913889438,6.68392130425933e-17,5.55772361785149e-14,"cirA"
"ECDH10B_2203",941.537827775376,-7.82173226937748,0.682164030851626,-7.79598854498176,6.3906184609858e-15,3.66395458429853e-12,"gmd"
"ECDH10B_1371",524.64693328552,7.66047496715932,0.696601349478361,7.74650085903126,9.44593747139511e-15,4.64200355737131e-12,"ompW"
"ECDH10B_0283",319.241787183178,0.911700699515762,0.708822641413552,7.7055868504683,1.30243361502978e-14,5.60046454462804e-12,"ykgL"
"ECDH10B_3289",297.12563927591,0.895169278118799,0.705436623422216,7.61852397804832,2.56592828689717e-14,9.80754811880697e-12,"tdcD"
"ECDH10B_2842",580.099647434646,-7.60768741004016,0.671052445712699,-7.52635755820612,5.21753402304283e-14,1.79483170392673e-11,"nrdE"
"ECDH10B_2202",523.331858931887,-6.97783537183574,0.708898314748041,-7.12367900349171,1.05083620299399e-12,3.01239711524944e-10,"fcl"
"ECDH10B_4347",559.989803044076,4.19967934466788,0.549198914987432,7.1273641859997,1.0230913878623e-12,3.01239711524944e-10,"frdC"
"ECDH10B_2206",502.637361771515,-6.76287311341744,0.720099674601314,-6.99178136264068,2.7141763600632e-12,6.73833440474988e-10,"wcaD"
"ECDH10B_3292",183.660184795142,0.773772751490302,0.677605002201388,6.99033300575399,2.74234539728193e-12,6.73833440474988e-10,"tdcA"
"ECDH10B_2176",1492.03384148259,-3.1789237923182,0.415300024486813,-6.93014176188322,4.20419106673016e-12,9.64161151303451e-10,"ugd"
"ECDH10B_2210",525.333019952426,-6.495223929502,0.735917495899324,-6.87335638612635,6.27086384718725e-12,1.34823572714526e-09,"wzc"
"ECDH10B_4215",363.016073041398,-6.64317846063961,0.714300298845502,-6.80867532938293,9.85014925855169e-12,1.99320667349517e-09,"yjbE"
"ECDH10B_0965",266.266097535707,6.28161881564216,0.746704472779613,6.77549338641506,1.23982414489766e-11,2.36944169913775e-09,"dmsB"
"ECDH10B_2200",389.106529781465,-6.38269244096428,0.732601447145863,-6.68944627458139,2.24016607066058e-11,4.05587962266969e-09,"wcaI"
"ECDH10B_3173",248.525908906478,6.08818137720157,0.7538811852117,6.65285706163,2.87457342847667e-11,4.94426629697988e-09,"hybA"
"ECDH10B_2359",231.19435835934,6.08044292756521,0.752727523456142,6.61371082487057,3.74803570231435e-11,6.13963943617208e-09,"napC"
"ECDH10B_2199",348.131165636848,-6.27384196985454,0.734937333070007,-6.58750547439654,4.47277498441508e-11,6.99379361199449e-09,"cpsB"
"ECDH10B_3174",577.901748210561,3.73413703496726,0.524603312443601,6.57048309889913,5.01522767979639e-11,7.50103618195634e-09,"hybO"
"ECDH10B_4134",293.222383032013,5.64975056676394,0.77354708157875,6.55718891983084,5.48315325200653e-11,7.85918632787602e-09,"gldA"
"ECDH10B_0973",11939.4236419119,2.0961228083949,0.272959846964321,6.53948626003688,6.17305125845329e-11,8.49411853163173e-09,"pflB"
"ECDH10B_2201",318.686005830598,-6.15502869267036,0.738632044023595,-6.48904008601327,8.63849823867679e-11,1.14293976696339e-08,"nudD"
"ECDH10B_2843",294.625542044885,-6.11239013611211,0.738384824519948,-6.43542550432074,1.23127907728673e-10,1.51271429495226e-08,"nrdF"
"ECDH10B_2895",247.036093995287,5.5966977570985,0.773396063924729,6.43720062572095,1.21697033406422e-10,1.51271429495226e-08,"hypB"
"ECDH10B_4131",2644.20493404341,2.79959929359643,0.392751598111984,6.36178095542619,1.99427712606652e-10,2.36562528057546e-08,"katG"
"ECDH10B_3541",877.504141593771,4.09235709489671,0.606395801825056,6.31773577945029,2.65423304520993e-10,3.04352055850739e-08,"nirB"
"ECDH10B_1817",263.163245451162,-5.84289645765407,0.749638753043033,-6.2455798241118,4.22230828258799e-10,4.68540015874281e-08,"sufB"
"ECDH10B_2198",275.845775718995,-5.6859789076855,0.758901354786635,-6.18457049294048,6.2271781965215e-10,6.69421656126062e-08,"cpsG"
