gene	name
ECDH10B_0001	thrL
ECDH10B_0002	thrA
ECDH10B_0003	thrB
ECDH10B_0004	thrC
ECDH10B_0005	yaaX
ECDH10B_0006	yaaA
ECDH10B_0007	yaaJ
ECDH10B_0008	talB
ECDH10B_0009	mog
ECDH10B_0010	yaaH
ECDH10B_0011	yaaW
ECDH10B_0012	htgA
ECDH10B_0013	yaaI
ECDH10B_0014	dnaK
EBG00001089583	tpke11
ECDH10B_0015	dnaJ
ECDH10B_0016	insL-1
ECDH10B_0018	hokC
ECDH10B_0017	mokC
EBG00001089655	sok
ECDH10B_0020	nhaA
ECDH10B_0021	nhaR
ECDH10B_0022	insB-1
ECDH10B_0023	insA-1
ECDH10B_0024	rpsT
ECDH10B_0025	yaaY
ECDH10B_0026	ribF
ECDH10B_0027	ileS
ECDH10B_0028	lspA
ECDH10B_0029	fkpB
ECDH10B_0030	ispH
ECDH10B_0031	rihC
ECDH10B_0032	dapB
ECDH10B_0033	carA
ECDH10B_0034	carB
ECDH10B_0035	caiF
ECDH10B_0036	caiE
ECDH10B_0037	caiD
ECDH10B_0038	caiC
ECDH10B_0039	caiB
ECDH10B_0040	caiA
ECDH10B_0041	caiT
ECDH10B_0042	fixA
ECDH10B_0043	fixB
ECDH10B_0044	fixC
ECDH10B_0045	fixX
ECDH10B_0046	yaaU
ECDH10B_0047	kefF
ECDH10B_0048	kefC
ECDH10B_0049	folA
ECDH10B_0050	apaH
ECDH10B_0051	apaG
ECDH10B_0052	ksgA
ECDH10B_0053	pdxA
ECDH10B_0054	surA
ECDH10B_0055	imp
ECDH10B_0056	djlA
ECDH10B_0060	rluA
ECDH10B_0063	mraZ
ECDH10B_0064	mraW
ECDH10B_0065	ftsL
ECDH10B_0066	ftsI
ECDH10B_0067	murE
ECDH10B_0068	murF
ECDH10B_0069	mraY
ECDH10B_0070	murD
ECDH10B_0071	ftsW
ECDH10B_0072	murG
ECDH10B_0073	murC
ECDH10B_0074	ddlB
ECDH10B_0075	ftsQ
ECDH10B_0076	ftsA
ECDH10B_0077	ftsZ
ECDH10B_0078	lpxC
ECDH10B_0079	secM
ECDH10B_0080	secA
EBG00001089640	STnc40
ECDH10B_0081	mutT
ECDH10B_0082	yacG
ECDH10B_0083	yacF
ECDH10B_0084	coaE
ECDH10B_0085	guaC
ECDH10B_0086	hofC
ECDH10B_0087	hofB
ECDH10B_0088	ppdD
ECDH10B_0089	nadC
ECDH10B_0090	ampD
ECDH10B_0091	ampE
ECDH10B_0092	aroP
ECDH10B_0093	pdhR
EBG00001089557	tp2
ECDH10B_0094	aceE
ECDH10B_0095	aceF
ECDH10B_0096	lpd
ECDH10B_0097	yacH
ECDH10B_0098	acnB
ECDH10B_0099	yacL
ECDH10B_0100	speD
ECDH10B_0101	speE
ECDH10B_0102	yacC
ECDH10B_0103	cueO
ECDH10B_0104	gcd
ECDH10B_0105	hpt
ECDH10B_0106	can
ECDH10B_0107	yadG
ECDH10B_0108	yadH
ECDH10B_0109	yadI
ECDH10B_0110	yadE
ECDH10B_0111	panD
ECDH10B_0112	yadD
ECDH10B_0113	panC
ECDH10B_0114	panB
ECDH10B_0115	yadC
ECDH10B_0116	yadK
ECDH10B_0117	yadL
ECDH10B_0118	yadM
ECDH10B_0119	htrE
ECDH10B_0120	ecpD
ECDH10B_0121	yadN
ECDH10B_0122	folK
ECDH10B_0123	pcnB
ECDH10B_0124	yadB
ECDH10B_0125	dksA
ECDH10B_0126	sfsA
ECDH10B_0127	ligT
ECDH10B_0128	hrpB
ECDH10B_0129	mrcB
ECDH10B_0130	fhuA
ECDH10B_0131	fhuC
ECDH10B_0132	fhuD
ECDH10B_0133	fhuB
ECDH10B_0134	hemL
ECDH10B_0135	clcA
ECDH10B_0136	yadR
ECDH10B_0137	yadS
ECDH10B_0138	btuF
ECDH10B_0139	pfs
ECDH10B_0140	dgt
ECDH10B_0141	degP
ECDH10B_0142	cdaR
ECDH10B_0143	yaeH
ECDH10B_0144	yaeI
ECDH10B_0145	dapD
ECDH10B_0146	glnD
ECDH10B_0147	map
EBG00001089696	t44
ECDH10B_0149	rpsB
ECDH10B_0150	tsf
ECDH10B_0151	pyrH
ECDH10B_0152	frr
ECDH10B_0153	dxr
ECDH10B_0154	ispU
ECDH10B_0155	cdsA
ECDH10B_0156	rseP
ECDH10B_0157	ecfK
ECDH10B_0158	skp
ECDH10B_0159	lpxD
ECDH10B_0160	fabZ
ECDH10B_0161	lpxA
ECDH10B_0162	lpxB
ECDH10B_0163	rnhB
ECDH10B_0164	dnaE
ECDH10B_0165	accA
ECDH10B_0166	ldcC
ECDH10B_0167	yaeR
ECDH10B_0168	tilS
ECDH10B_0169	rof
ECDH10B_0170	yaeP
ECDH10B_0171	yaeQ
ECDH10B_0172	yaeJ
ECDH10B_0173	nlpE
ECDH10B_0174	yaeF
ECDH10B_0175	proS
ECDH10B_0176	yaeB
ECDH10B_0177	rcsF
ECDH10B_0178	metQ
ECDH10B_0179	metI
ECDH10B_0180	metN
ECDH10B_0181	gmhB
ECDH10B_0188	dkgB
ECDH10B_0189	yafC
ECDH10B_0190	yafD
ECDH10B_0191	yafE
ECDH10B_0192	mltD
ECDH10B_0193	gloB
ECDH10B_0194	yafS
ECDH10B_0195	rnhA
ECDH10B_0196	dnaQ
ECDH10B_0198	yafT
ECDH10B_0201	yafV
ECDH10B_0202	ivy
ECDH10B_0203	fadE
ECDH10B_0204	lpcA
ECDH10B_0205	yafJ
ECDH10B_0206	yafK
ECDH10B_0207	yafQ
